ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10001607,HY191269,03/19/2015 10:00:00 PM,119XX S HARVARD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,true,true,0522,005,34,53,14,1176106,1825650,2015,02/10/2018 03:50:01 PM,41.67693763,-87.631037592,"(41.67693763, -87.631037592)"
10001610,HY191270,03/19/2015 10:45:00 PM,009XX W 116TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0524,005,34,53,08B,1171948,1827591,2015,02/10/2018 03:50:01 PM,41.682356046,-87.646200374,"(41.682356046, -87.646200374)"
10001611,HY191272,03/19/2015 10:54:00 PM,016XX E 79TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CONVENIENCE STORE,true,false,0414,004,8,43,14,1188721,1852930,2015,02/10/2018 03:50:01 PM,41.751505533,-87.583994603,"(41.751505533, -87.583994603)"
10001612,HY191294,03/19/2015 11:00:00 PM,065XX S WOOD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0725,007,15,67,14,1165468,1861247,2015,02/10/2018 03:50:01 PM,41.774852662,-87.668970179,"(41.774852662, -87.668970179)"
10001613,HY191280,03/19/2015 10:30:00 PM,035XX S RHODES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0212,002,4,35,08B,1180162,1881716,2015,02/10/2018 03:50:01 PM,41.830697249,-87.614476891,"(41.830697249, -87.614476891)"
10001614,HY191277,03/19/2015 10:37:00 PM,016XX N MASON AVE,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,SIDEWALK,true,false,2531,025,29,25,08A,1136498,1910368,2015,02/10/2018 03:50:01 PM,41.910213253,-87.77399901,"(41.910213253, -87.77399901)"
10001615,HY191252,03/19/2015 10:00:00 PM,001XX S PARKSIDE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),true,true,1513,015,29,25,08B,1138633,1898921,2015,02/10/2018 03:50:01 PM,41.87876279,-87.766433586,"(41.87876279, -87.766433586)"
10001617,HY191273,03/19/2015 09:00:00 PM,007XX N WESTERN AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,1221,012,1,24,08B,1160274,1904808,2015,02/10/2018 03:50:01 PM,41.894497492,-87.686808805,"(41.894497492, -87.686808805)"
10001618,HY191264,03/19/2015 10:27:00 PM,029XX N ASHLAND AVE,0860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,true,false,1931,019,32,6,06,1165142,1919763,2015,02/10/2018 03:50:01 PM,41.935432921,-87.668504341,"(41.935432921, -87.668504341)"
10001619,HY191304,03/19/2015 10:00:00 PM,044XX W MONROE ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENCE PORCH/HALLWAY,true,false,1113,011,28,26,18,1146767,1899293,2015,02/10/2018 03:50:01 PM,41.879632285,-87.736557282,"(41.879632285, -87.736557282)"
10001621,HY191109,03/19/2015 07:27:00 PM,079XX S LAFLIN ST,0890,THEFT,FROM BUILDING,SIDEWALK,true,false,0612,006,21,71,06,1167710,1852264,2015,02/10/2018 03:50:01 PM,41.750154295,-87.661008708,"(41.750154295, -87.661008708)"
